section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,94,1765440776804245657,1765440776924369657,120,784.468,567.829,-0.9975405318276289,1.0582734514399683
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,95,1765440777079493657,1765440777309741657,230,1201.636,503.75,25.873811660569224,4.993619414006077
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,96,1765440777349741657,1765440777494865657,145,1221.788,490.43,27.18945260607496,5.798398877811639
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,97,1765440777534989657,1765440777700113657,165,1255.44,504.75,29.32129380176544,4.879569034200838
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,98,1765440777720113657,1765440777875237657,155,1265.549,526.832,29.935176337569715,3.51467843282087
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,99,1765440778110485657,1765440778250609657,140,740.312,867.241,-3.9774701032054653,-18.229902183934957
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,100,1765440778290609657,1765440778465857657,175,817.953,861.527,1.1989033323810832,-17.876071933432794
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,101,1765440778560856657,1765440778650981657,90,858.352,877.678,3.9032825432584968,-18.897384585562044
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,102,1765440778831104657,1765440779426725657,596,506.873,433.131,-19.04658433881402,9.549561130092433
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,103,1765440779471725657,1765440779601848657,130,617.372,478.668,-11.828463322340534,6.759944397072489
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,104,1765440779681973657,1765440780232469657,550,824.489,618.371,1.5884570184114635,-2.20771325270828
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,105,1765440780377604657,1765440780627850657,250,528.295,402.129,-17.731473344109048,11.538737105566224
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,106,1765440780662841657,1765440780948088657,285,612.793,426.866,-12.188743630203472,10.06837979011403
